"Plot Title: 21444869"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21444869, SEN S/N: 21444869)","Coupler Detached (LGR S/N: 21444869)","Coupler Attached (LGR S/N: 21444869)","Host Connected (LGR S/N: 21444869)","End Of File (LGR S/N: 21444869)"
1,06/21/23 02:00:00 PM,59.830,Logged,,,
2,06/21/23 02:15:00 PM,59.529,,,,
3,06/21/23 02:30:00 PM,59.616,,,,
4,06/21/23 02:45:00 PM,59.702,,,,
5,06/21/23 03:00:00 PM,59.788,,,,
6,06/21/23 03:15:00 PM,59.830,,,,
7,06/21/23 03:30:00 PM,59.916,,,,
8,06/21/23 03:45:00 PM,59.959,,,,
9,06/21/23 04:00:00 PM,60.046,,,,
10,06/21/23 04:15:00 PM,60.132,,,,
11,06/21/23 04:30:00 PM,60.260,,,,
12,06/21/23 04:45:00 PM,60.303,,,,
13,06/21/23 05:00:00 PM,60.390,,,,
14,06/21/23 05:15:00 PM,60.433,,,,
15,06/21/23 05:30:00 PM,60.433,,,,
16,06/21/23 05:45:00 PM,60.517,,,,
17,06/21/23 06:00:00 PM,60.517,,,,
18,06/21/23 06:15:00 PM,60.517,,,,
19,06/21/23 06:30:00 PM,60.517,,,,
20,06/21/23 06:45:00 PM,60.561,,,,
21,06/21/23 07:00:00 PM,60.604,,,,
22,06/21/23 07:15:00 PM,60.604,,,,
23,06/21/23 07:30:00 PM,60.604,,,,
24,06/21/23 07:45:00 PM,60.604,,,,
25,06/21/23 08:00:00 PM,60.604,,,,
26,06/21/23 08:15:00 PM,60.604,,,,
27,06/21/23 08:30:00 PM,60.604,,,,
28,06/21/23 08:45:00 PM,60.561,,,,
29,06/21/23 09:00:00 PM,60.561,,,,
30,06/21/23 09:15:00 PM,60.561,,,,
31,06/21/23 09:30:00 PM,60.517,,,,
32,06/21/23 09:45:00 PM,60.517,,,,
33,06/21/23 10:00:00 PM,60.474,,,,
34,06/21/23 10:15:00 PM,60.433,,,,
35,06/21/23 10:30:00 PM,60.390,,,,
36,06/21/23 10:45:00 PM,60.346,,,,
37,06/21/23 11:00:00 PM,60.346,,,,
38,06/21/23 11:15:00 PM,60.303,,,,
39,06/21/23 11:30:00 PM,60.260,,,,
40,06/21/23 11:45:00 PM,60.260,,,,
41,06/22/23 12:00:00 AM,60.217,,,,
42,06/22/23 12:15:00 AM,60.217,,,,
43,06/22/23 12:30:00 AM,60.174,,,,
44,06/22/23 12:45:00 AM,60.089,,,,
45,06/22/23 01:00:00 AM,60.046,,,,
46,06/22/23 01:15:00 AM,60.003,,,,
47,06/22/23 01:30:00 AM,59.959,,,,
48,06/22/23 01:45:00 AM,59.916,,,,
49,06/22/23 02:00:00 AM,59.873,,,,
50,06/22/23 02:15:00 AM,59.830,,,,
51,06/22/23 02:30:00 AM,59.788,,,,
52,06/22/23 02:45:00 AM,59.745,,,,
53,06/22/23 03:00:00 AM,59.702,,,,
54,06/22/23 03:15:00 AM,59.702,,,,
55,06/22/23 03:30:00 AM,59.616,,,,
56,06/22/23 03:45:00 AM,59.616,,,,
57,06/22/23 04:00:00 AM,59.572,,,,
58,06/22/23 04:15:00 AM,59.529,,,,
59,06/22/23 04:30:00 AM,59.486,,,,
60,06/22/23 04:45:00 AM,59.445,,,,
61,06/22/23 05:00:00 AM,59.445,,,,
